iter	Logloss
0	0.6907417566
1	0.6884043288
2	0.6857373739
3	0.6828210039
4	0.6802361047
5	0.6777277956
6	0.6751236149
7	0.672907771
8	0.670139357
9	0.6677004747
10	0.6650316887
11	0.6629842173
12	0.6609740975
13	0.658949307
14	0.6565763616
15	0.6545632609
16	0.6522060586
17	0.6498874022
18	0.6471954616
19	0.6449407699
20	0.6425095573
21	0.6401477827
22	0.6379871694
23	0.6358942804
24	0.6337473629
25	0.6315958384
26	0.6296190116
27	0.6274530635
28	0.6252371702
29	0.6231952744
30	0.6205245109
31	0.6185234293
32	0.6164153296
33	0.6142699466
34	0.6119503897
35	0.6100941658
36	0.6079149804
37	0.6055553705
38	0.603352009
39	0.6008275727
40	0.5997323278
41	0.5977288639
42	0.5960846116
43	0.5941803194
44	0.5920206446
45	0.5900677664
46	0.5879441205
47	0.5856847781
48	0.5842400033
49	0.5827004899
50	0.5807541805
51	0.5793100599
52	0.5768607441
53	0.5752204976
54	0.5731057957
55	0.57133956
56	0.5694262669
57	0.5674015342
58	0.5656985044
59	0.5641088678
60	0.5622945526
61	0.560321299
62	0.5587613681
63	0.5569150259
64	0.555621604
65	0.5541684922
66	0.5523184207
67	0.5502125886
68	0.5482638584
69	0.5464835668
70	0.5445056361
71	0.5431380018
72	0.54121968
73	0.5396852675
74	0.5381844934
75	0.5367686425
76	0.5353728089
77	0.533723374
78	0.5318401238
79	0.530108912
80	0.5290380128
81	0.5279965757
82	0.5261441564
83	0.5241037058
84	0.5228771807
85	0.521273243
86	0.5197338476
87	0.5185279821
88	0.5173159165
89	0.5154279649
90	0.5140143865
91	0.5126150094
92	0.5110014673
93	0.5095826736
94	0.5081861859
95	0.5066906563
96	0.5053510041
97	0.5036093593
98	0.5019445365
99	0.5005805165
100	0.4991103084
101	0.4979231736
102	0.4965000109
103	0.4946623394
104	0.4929149936
105	0.4914977958
106	0.4900024555
107	0.4882303978
108	0.4869540254
109	0.4856992546
110	0.4846218803
111	0.4829648777
112	0.4818840565
113	0.4806859748
114	0.4792846071
115	0.4776154466
116	0.4762271185
117	0.4753356016
118	0.4742353079
119	0.4729181608
120	0.4718974785
121	0.4707704652
122	0.4696811169
