iter	Passed	Remaining
0	2	2492
1	4	2144
2	7	2512
3	17	4377
4	19	3952
5	21	3633
6	24	3440
7	28	3582
8	31	3438
9	34	3378
10	36	3312
11	45	3775
12	47	3643
13	50	3543
14	53	3528
15	59	3643
16	62	3632
17	65	3552
18	67	3496
19	69	3409
20	79	3688
21	81	3629
22	83	3545
23	89	3619
24	91	3556
25	94	3525
26	96	3483
27	99	3451
28	101	3411
29	108	3512
30	110	3469
31	112	3410
32	114	3364
33	118	3379
34	121	3356
35	124	3340
36	127	3323
37	129	3278
38	136	3361
39	138	3321
40	140	3276
41	142	3241
42	144	3227
43	149	3250
44	151	3223
45	155	3221
46	159	3232
47	161	3201
48	167	3247
49	170	3236
50	173	3224
51	175	3192
52	177	3168
53	185	3253
54	187	3222
55	189	3196
56	192	3186
57	197	3213
58	202	3226
59	204	3209
60	206	3182
61	208	3155
62	213	3177
63	216	3160
64	218	3137
65	220	3125
66	222	3100
67	224	3075
68	230	3109
69	232	3086
70	234	3062
71	235	3039
72	237	3018
73	239	2997
74	242	2992
75	245	2988
76	248	2978
77	250	2957
78	251	2937
79	253	2918
80	255	2896
81	262	2937
82	264	2918
83	266	2906
84	268	2888
85	270	2870
86	273	2867
87	276	2866
88	278	2854
89	281	2842
90	283	2826
91	285	2819
92	290	2830
93	292	2817
94	294	2806
95	296	2790
96	298	2775
97	300	2761
98	301	2747
99	306	2760
100	308	2748
101	310	2735
102	312	2724
103	314	2712
104	316	2699
105	323	2726
106	325	2717
107	327	2708
108	329	2695
109	332	2687
110	334	2678
111	337	2679
112	340	2674
113	343	2666
114	344	2653
115	346	2642
116	354	2673
117	356	2667
118	359	2665
119	363	2662
120	369	2687
121	372	2680
122	374	2671
123	376	2661
124	388	2719
125	390	2709
126	392	2700
127	395	2693
128	402	2718
129	404	2709
130	407	2701
131	409	2694
132	418	2730
133	421	2720
134	423	2712
135	426	2711
136	432	2725
137	435	2721
138	437	2711
139	439	2701
140	442	2692
141	451	2727
142	453	2719
143	456	2711
144	457	2700
145	461	2697
146	465	2701
147	469	2700
148	471	2690
149	473	2685
150	479	2695
151	481	2688
152	483	2678
153	485	2667
154	487	2656
155	489	2645
156	493	2650
157	496	2643
158	498	2634
159	499	2624
160	502	2617
161	504	2607
162	511	2627
163	513	2618
164	515	2610
165	517	2600
166	520	2595
167	525	2601
168	527	2593
169	530	2590
170	532	2581
171	534	2572
172	536	2563
173	543	2579
174	545	2572
175	548	2567
176	550	2558
177	552	2553
178	556	2554
179	560	2553
180	562	2545
181	566	2544
182	573	2561
183	576	2556
184	578	2549
185	580	2540
186	582	2532
187	587	2537
188	590	2532
189	591	2523
