pais,desarrollo_humano_porcentaje,pib_usd_per_capita,irradiancia_kwh/m2/day,coste_construccion_usd/kwh,consumo_kwh_per_capita,tarifa_luz_uscent/kwh,capacidad_instalada_wp_per_capita
Samoa,0.712812176548273,4392.46775479595,4.7821,0.1064,,39.1,68.83189721103349
Kenya,0.589920177066959,1710.51009699983,5.78,0.0946,164.325548654934,21.5,1.7998556613049128
Democratic Republic of Congo,0.457469212926028,561.777182390647,5.1879,0.1002,108.516701140545,10.0,0.08088681352357578
Bermuda (U.K.),,,4.7291,0.1015,,,0.0
Kiribati,0.611784025677148,1625.28610001512,6.1258,0.0865,,39.4,25.033017687121806
"Macau, SAR",,86355.407651836,4.0875,0.1047,,,0.0
Bhutan,0.612417609105288,3360.26686689029,3.9397,0.1078,,5.4,0.6627836382579925
Bahrain,0.84610833886364,24050.7575053956,5.7502,0.0869,19596.9537638231,4.8,3.1858517597689366
Ethiopia,0.462664091875582,772.312227821251,5.8501,0.0908,69.1987531624304,3.9,0.10070995113836989
Russian Federation,0.816275486703012,11288.8724435206,3.1178,0.2322,6602.65752529282,8.2,3.7770443330319035
São Tomé and Príncipe,0.589476283139653,2001.14090226164,4.2979,0.124,,17.0,0.4738707659647061
Jordan,0.73537313966981,4247.76872564413,6.0177,0.08,1864.67585548017,23.9,77.49087460831451
United Arab Emirates,0.862756660396514,43004.9486462341,6.0454,0.0848,11088.3502863794,11.0,51.24100310259861
Malaysia,0.801807695215745,11238.9573725301,4.706,0.1138,4651.9587341816,11.6,13.885811875160272
Mali,0.426868860876469,901.403100689224,6.0178,0.0909,,13.6,1.0273780525839344
Saint Vincent and the Grenadines,0.722707899234581,7377.67883199414,5.1861,0.1025,,31.5,11.795662825514926
Peru,0.749772854574691,6947.2566270938,5.1463,0.0884,1345.8795888743,17.1,10.787997070016258
Uruguay,0.803948433136911,17277.9701105496,4.7898,0.0988,3085.1944193006,16.9,71.95664974245491
