placeDcid,placeName,Date:UnemploymentRate_Person,Value:UnemploymentRate_Person,Source:UnemploymentRate_Person,Date:dc/nm9hcklgg5zb3,Value:dc/nm9hcklgg5zb3,Source:dc/nm9hcklgg5zb3
country/AUT,Austria,,,,2015,4285500,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10r_3empers/?format=TSV&compressed=true
country/AUT,Austria,2015-01,5.5,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-02,5.5,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-03,5.7,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-04,5.9,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-05,6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-06,5.8,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-07,5.6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-08,5.6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-09,5.6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-10,5.8,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-11,5.9,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2015-12,6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,,,,2016,4341300,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10r_3empers/?format=TSV&compressed=true
country/AUT,Austria,2016-01,6.1,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-02,6.1,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-03,5.9,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-04,6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-05,6.3,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-06,6.3,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-07,6.2,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-08,6.2,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-09,6.1,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-10,5.9,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-11,5.7,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2016-12,5.7,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,,,,2017,4412600,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10r_3empers/?format=TSV&compressed=true
country/AUT,Austria,2017-01,5.7,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2017-02,5.8,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2017-03,5.7,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2017-04,5.6,https://ec.europa.eu/eurostat/data/database,,,
country/AUT,Austria,2017-05,5.5,https://ec.europa.eu/eurostat/data/database,,,
