placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
country/ALB,Albania,2015,2885796,https://ec.europa.eu/eurostat/data/database
country/ALB,Albania,2016,2875592,https://ec.europa.eu/eurostat/data/database
country/ALB,Albania,2017,2876591,https://ec.europa.eu/eurostat/data/database
country/ALB,Albania,2018,2870324,https://ec.europa.eu/eurostat/data/database
country/ALB,Albania,2019,2862427,https://ec.europa.eu/eurostat/data/database
country/AND,Andorra,2019,76177,https://ec.europa.eu/eurostat/data/database
country/ARM,Armenia,2015,3010598,https://ec.europa.eu/eurostat/data/database
country/ARM,Armenia,2016,2998577,https://ec.europa.eu/eurostat/data/database
country/ARM,Armenia,2017,2986151,https://ec.europa.eu/eurostat/data/database
country/ARM,Armenia,2018,2972732,https://ec.europa.eu/eurostat/data/database
country/ARM,Armenia,2019,2965269,https://ec.europa.eu/eurostat/data/database
country/AUT,Austria,2015,8584926,https://ec.europa.eu/eurostat/data/database
country/AUT,Austria,2016,8700471,https://ec.europa.eu/eurostat/data/database
country/AUT,Austria,2017,8772865,https://ec.europa.eu/eurostat/data/database
country/AUT,Austria,2018,8822267,https://ec.europa.eu/eurostat/data/database
country/AUT,Austria,2019,8858775,https://ec.europa.eu/eurostat/data/database
country/AZE,Azerbaijan,2015,9593038,https://ec.europa.eu/eurostat/data/database
country/AZE,Azerbaijan,2016,9705643,https://ec.europa.eu/eurostat/data/database
country/AZE,Azerbaijan,2017,9809981,https://ec.europa.eu/eurostat/data/database
country/AZE,Azerbaijan,2018,9898085,https://ec.europa.eu/eurostat/data/database
country/AZE,Azerbaijan,2019,9981457,https://ec.europa.eu/eurostat/data/database
country/BEL,Belgium,2015,11237274,https://ec.europa.eu/eurostat/data/database
country/BEL,Belgium,2016,11311117,https://ec.europa.eu/eurostat/data/database
country/BEL,Belgium,2017,11351727,https://ec.europa.eu/eurostat/data/database
country/BEL,Belgium,2018,11398589,https://ec.europa.eu/eurostat/data/database
country/BEL,Belgium,2019,11455519,https://ec.europa.eu/eurostat/data/database
country/BGR,Bulgaria,2015,7202198,https://ec.europa.eu/eurostat/data/database
country/BGR,Bulgaria,2016,7153784,https://ec.europa.eu/eurostat/data/database
country/BGR,Bulgaria,2017,7101859,https://ec.europa.eu/eurostat/data/database
country/BGR,Bulgaria,2018,7050034,https://ec.europa.eu/eurostat/data/database
country/BGR,Bulgaria,2019,7000039,https://ec.europa.eu/eurostat/data/database
country/BLM,Saint Barthélemy,2015,9625,https://www.wikidata.org/wiki/Wikidata:Main_Page
country/BLR,Belarus,2015,9480868,https://ec.europa.eu/eurostat/data/database
country/BLR,Belarus,2016,9498364,https://ec.europa.eu/eurostat/data/database
country/BLR,Belarus,2017,9504704,https://ec.europa.eu/eurostat/data/database
country/BLR,Belarus,2018,9491823,https://ec.europa.eu/eurostat/data/database
country/BLR,Belarus,2019,9475174,https://ec.europa.eu/eurostat/data/database
country/CHE,Switzerland,2015,8237666,https://ec.europa.eu/eurostat/data/database
country/CHE,Switzerland,2016,8327126,https://ec.europa.eu/eurostat/data/database
country/CHE,Switzerland,2017,8419550,https://ec.europa.eu/eurostat/data/database
country/CHE,Switzerland,2018,8484130,https://ec.europa.eu/eurostat/data/database
country/CHE,Switzerland,2019,8544527,https://ec.europa.eu/eurostat/data/database
country/CYP,Cyprus,2015,847008,https://ec.europa.eu/eurostat/data/database
country/CYP,Cyprus,2016,848319,https://ec.europa.eu/eurostat/data/database
country/CYP,Cyprus,2017,854802,https://ec.europa.eu/eurostat/data/database
country/CYP,Cyprus,2018,864236,https://ec.europa.eu/eurostat/data/database
country/CYP,Cyprus,2019,875899,https://ec.europa.eu/eurostat/data/database
country/CZE,Czech Republic,2015,10538275,https://ec.europa.eu/eurostat/data/database
country/CZE,Czech Republic,2016,10553843,https://ec.europa.eu/eurostat/data/database
country/CZE,Czech Republic,2017,10578820,https://ec.europa.eu/eurostat/data/database
country/CZE,Czech Republic,2018,10610055,https://ec.europa.eu/eurostat/data/database
country/CZE,Czech Republic,2019,10649800,https://ec.europa.eu/eurostat/data/database
country/DEU,Germany,2015,81197537,https://ec.europa.eu/eurostat/data/database
country/DEU,Germany,2016,82175684,https://ec.europa.eu/eurostat/data/database
country/DEU,Germany,2017,82521653,https://ec.europa.eu/eurostat/data/database
country/DEU,Germany,2018,82792351,https://ec.europa.eu/eurostat/data/database
country/DEU,Germany,2019,83019213,https://ec.europa.eu/eurostat/data/database
country/DNK,Denmark,2015,5659715,https://ec.europa.eu/eurostat/data/database
country/DNK,Denmark,2016,5707251,https://ec.europa.eu/eurostat/data/database
country/DNK,Denmark,2017,5748769,https://ec.europa.eu/eurostat/data/database
country/DNK,Denmark,2018,5781190,https://ec.europa.eu/eurostat/data/database
country/DNK,Denmark,2019,5806081,https://ec.europa.eu/eurostat/data/database
country/ESP,Spain,2015,46449565,https://ec.europa.eu/eurostat/data/database
country/ESP,Spain,2016,46440099,https://ec.europa.eu/eurostat/data/database
country/ESP,Spain,2017,46528024,https://ec.europa.eu/eurostat/data/database
country/ESP,Spain,2018,46658447,https://ec.europa.eu/eurostat/data/database
country/ESP,Spain,2019,46937060,https://ec.europa.eu/eurostat/data/database
country/EST,Estonia,2015,1314870,https://ec.europa.eu/eurostat/data/database
country/EST,Estonia,2016,1315944,https://ec.europa.eu/eurostat/data/database
country/EST,Estonia,2017,1315635,https://ec.europa.eu/eurostat/data/database
country/EST,Estonia,2018,1319133,https://ec.europa.eu/eurostat/data/database
country/EST,Estonia,2019,1324820,https://ec.europa.eu/eurostat/data/database
