placeDcid,placeName,Date:worldBank/AG_SRF_TOTL_K2,Value:worldBank/AG_SRF_TOTL_K2,Source:worldBank/AG_SRF_TOTL_K2
country/ALB,Albania,2020,28750,https://data.worldbank.org
country/AND,Andorra,2020,470,https://data.worldbank.org
country/ARM,Armenia,2020,29740,https://data.worldbank.org
country/AUT,Austria,2020,83879,https://data.worldbank.org
country/AZE,Azerbaijan,2020,86600,https://data.worldbank.org
country/BEL,Belgium,2020,30530,https://data.worldbank.org
country/BGR,Bulgaria,2020,111000,https://data.worldbank.org
country/BIH,Bosnia and Herzegovina,2020,51210,https://data.worldbank.org
country/BLR,Belarus,2020,207610,https://data.worldbank.org
country/CHE,Switzerland,2020,41290.39,https://data.worldbank.org
country/CYP,Cyprus,2020,9250,https://data.worldbank.org
country/CZE,Czech Republic,2020,78871.01,https://data.worldbank.org
country/DEU,Germany,2020,357590,https://data.worldbank.org
country/DNK,Denmark,2020,42920,https://data.worldbank.org
country/ESP,Spain,2020,505969.891,https://data.worldbank.org
country/EST,Estonia,2020,45340,https://data.worldbank.org
country/FIN,Finland,2020,338460,https://data.worldbank.org
country/FRA,France,2020,549086.87,https://data.worldbank.org
country/FRO,Faroe Islands,2020,12959.67,https://data.worldbank.org
country/GBR,United Kingdom,2020,243610,https://data.worldbank.org
country/GEO,Georgia,2020,69700,https://data.worldbank.org
country/GIB,Gibraltar,2020,10,https://data.worldbank.org
country/GRC,Greece,2020,131960,https://data.worldbank.org
country/HRV,Croatia,2020,88070,https://data.worldbank.org
country/HUN,Hungary,2020,93030,https://data.worldbank.org
country/IMN,Isle of Man,2020,570,https://data.worldbank.org
country/IRL,Ireland,2020,70280,https://data.worldbank.org
country/ISL,Iceland,2020,103000,https://data.worldbank.org
country/ITA,Italy,2020,302068,https://data.worldbank.org
country/KAZ,Kazakhstan,2020,2724900,https://data.worldbank.org
country/LIE,Liechtenstein,2020,160,https://data.worldbank.org
country/LTU,Lithuania,2020,65290,https://data.worldbank.org
country/LUX,Luxembourg,2020,2590,https://data.worldbank.org
country/LVA,Latvia,2020,64590,https://data.worldbank.org
country/MAF,Saint Martin (French part),2020,50,https://data.worldbank.org
country/MCO,Monaco,2020,74.92,https://data.worldbank.org
country/MDA,Moldova,2020,33850,https://data.worldbank.org
country/MKD,Macedonia [FYROM],2020,25710,https://data.worldbank.org
country/MLT,Malta,2020,320,https://data.worldbank.org
country/MNE,Montenegro,2020,13810,https://data.worldbank.org
country/NLD,Netherlands,2020,41540,https://data.worldbank.org
country/NOR,Norway,2020,624499,https://data.worldbank.org
country/POL,Poland,2020,312710,https://data.worldbank.org
country/PRT,Portugal,2020,92230,https://data.worldbank.org
country/PYF,French Polynesia,2020,3471,https://data.worldbank.org
country/ROU,Romania,2020,238400,https://data.worldbank.org
country/RUS,Russia,2020,17098250,https://data.worldbank.org
country/SMR,San Marino,2020,60,https://data.worldbank.org
country/SRB,Serbia,2020,84990,https://data.worldbank.org
country/SVK,Slovakia,2020,49030,https://data.worldbank.org
country/SVN,Slovenia,2020,20480,https://data.worldbank.org
country/SWE,Sweden,2020,528860.704,https://data.worldbank.org
country/TCA,Turks and Caicos Islands,2020,950,https://data.worldbank.org
country/TUR,Turkey,2020,785350,https://data.worldbank.org
country/UKR,Ukraine,2020,603550,https://data.worldbank.org
