placeDcid,placeName,Date:Mean_Rainfall,Value:Mean_Rainfall,Source:Mean_Rainfall
country/ALB,Albania,2024-06-13,0.379518,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-14,1.06558,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-15,0.12447,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-16,0.0106383,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-17,0.0946429,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-18,0.175,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-19,0.235119,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-20,0.0404412,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-21,0.0408654,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-22,0.322917,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-23,1.47727,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-24,3.45833,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-25,0.991071,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-26,2.0875,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-27,0.3125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ALB,Albania,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-13,0.299322,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-14,0.228873,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-15,0.62447,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-16,0.292553,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-17,0.09375,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-18,0.20625,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-19,2.01488,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-20,2.85846,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-21,0.194712,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-22,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-23,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-24,0.0138889,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-25,0.5,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-26,0.025,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-27,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AND,Andorra,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-13,0.0673946,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-14,0.202905,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-15,0.162076,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-16,0.142952,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-17,0.267857,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-18,0.45125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-19,1.27679,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-20,0.435662,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-21,0.173077,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-22,0.565972,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-23,0.221591,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-24,0.0833333,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-25,0.0267857,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-26,0.05,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-27,0.104167,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ANT,Netherlands Antilles,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-13,0.782003,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-14,0.985475,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-15,0.572034,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-16,3.05319,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-17,0.783036,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-18,0.91375,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-19,0.727679,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-20,1.04412,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-21,1.72837,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-22,0.28125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-23,1.69318,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-24,0.659722,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-25,1.48214,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-26,4.075,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-27,0.979167,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/ARM,Armenia,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-13,1.39119,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-14,0.174296,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-15,0.404131,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-16,0.90891,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-17,0.360714,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-18,0.2775,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-19,0.376488,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-20,0.838235,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-21,0.579327,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-22,0.6875,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-23,0.602273,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-24,0.902778,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-25,1.74107,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-26,2.4125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-27,1.85417,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AUT,Austria,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-13,0.250753,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-14,0.168134,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-15,0.0376059,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-16,0.0226064,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-17,0.0508929,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-18,0.055,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-19,0.153274,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-20,0.163603,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-21,0.0961538,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-22,0.138889,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-23,0.198864,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-24,0.0138889,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-25,0.0267857,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-26,0.025,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-27,0.0208333,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/AZE,Azerbaijan,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-13,0.266566,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-14,0.578345,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-15,0.536547,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-16,0.37367,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-17,0.783036,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-18,1.03125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-19,1.55655,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-20,0.121324,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-21,0.245192,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-22,0.340278,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-23,0.193182,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-24,1.17361,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-25,0.0535714,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-26,0.45,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-27,0.0833333,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BEL,Belgium,2024-06-28,0,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-13,0.79744,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-14,1.13336,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-15,0.0900424,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-16,0.487367,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-17,0.803571,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-18,0.9625,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-19,0.550595,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-20,0.352941,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-21,0.322115,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-22,0.0138889,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-23,0.159091,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-24,1.02083,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-25,2.1875,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-26,0.0375,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-27,0.125,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BGR,Bulgaria,2024-06-28,0.25,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-13,1.38968,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-14,0.399648,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-15,0.0932203,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-16,0.0591755,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-17,0.138393,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
country/BIH,Bosnia and Herzegovina,2024-06-18,0.20875,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
