,Pais,Poblacion_2018,Area_2018,Area_Evaluada_Porcentaje,Desarrollo_humano_2017,PIB_USD_2018,Precipitacion_media_2018,Irradiancia_Global_Horizontal,Potencial_kWh/kWp/day,Coste_Economico_USD/kWh_2018,Area_equivalente_PV,Capacidad_instalada_2018,Consumo_kWh_per_capita_2014,Tarifa_luz_USD/kWh
0,Albania,2866376,27400.0,0.614858017880064,0.784910973404969,5253.63006411357,1485.0,4.1954,4.0426,0.1051,0.21,0.348872583359615,2309.36650255581,8.7
1,Andorra,77006,470.0,0.110960757780785,0.857683594255898,42029.7627372989,0.0,4.049,4.199,0.0986,0.0,0.0,0.0,0.0
2,Armenia,2951776,28470.0,0.694657331536984,0.755112683179379,4212.07094272937,562.0,4.2241,4.1063,0.1038,0.169,5.86087833223117,1961.61039526467,7.6
3,Austria,8847037,82523.0,0.427210695853971,0.9077551793932,51512.9054751534,1110.0,3.2138,3.2571,0.1094,1.25,161.749069208143,8355.84195182134,9.8
4,Azerbaijan,9942334,82670.0,0.823314728989944,0.756965427408013,4721.17808673142,447.0,4.0422,3.8177,0.1116,0.235,3.66111216943627,2202.39391828846,5.4
5,Belarus,9485386,202988.0,0.736146207604533,0.807529595527673,6289.93855308212,618.0,2.9377,2.9485,0.1446,0.355,16.2671292449248,3679.9788400689,11.7
6,Belgium,11422068,30280.0,0.785622684525506,0.916066036844582,46556.0995671479,847.0,2.9436,2.9164,0.1219,5.026,352.440556298562,7709.12307788247,15.8
7,Bulgaria,7024216,108560.0,0.758936650939906,0.813006248671464,9272.62930360848,608.0,3.8729,3.7028,0.1147,0.301,147.432823819769,4708.92745757231,12.4
8,Croatia,4089400,55960.0,0.726788882318155,0.831102278842112,14869.0906823045,1113.0,3.737,3.6306,0.1176,0.292,14.916613684159,3714.38298844207,17.6
9,Cyprus,1189265,9240.0,0.883054698912514,0.868784385398697,28159.3016999455,498.0,5.2104,4.6983,0.0905,0.292,95.0166699600173,3624.97125277167,14.9
10,Czech Republic,10625695,77220.0,0.750171173651258,0.887561428889983,23078.5734865691,0.0,3.0809,3.0481,0.1167,1.372,195.516622677387,6258.89103703659,12.1
11,Denmark,5797446,41990.0,0.902991352333524,0.929474111110122,60726.4665351509,703.0,2.7671,2.8434,0.1252,2.114,172.14476857568,5858.80153628748,20.3
12,Estonia,1320884,43470.0,0.631324132195402,0.871042038946073,22927.7444174193,626.0,2.7161,2.8369,0.126,0.691,8.3277562602015,6732.36747315611,8.5
13,France,66987244,547557.0,0.809952832118077,0.900802439918752,41463.6440227034,867.0,3.4825,3.3861,0.0954,1.054,141.570236864798,6939.52147366929,13.0
14,Georgia,3731000,69490.0,0.467168594693119,0.77982232852556,4344.63095185476,1026.0,3.7245,3.7084,0.115,0.142,0.0,2693.97276022513,6.5
15,Germany,82927922,349360.0,0.734342679843714,0.936043420154955,48195.5799044116,700.0,2.9777,2.9608,0.1119,2.954,553.854466532997,7035.48297471676,32.2
16,Greece,10727668,128900.0,0.713319151301395,0.86993406704057,20324.2535641477,652.0,4.4501,4.143,0.0861,0.324,247.164621425644,5062.60642155232,19.5
17,Hungary,9768785,90530.0,0.882357753250186,0.837844633948344,15938.8367965554,589.0,3.5222,3.4402,0.1035,0.54,68.0739723517305,3965.95823348335,17.6
18,Ireland,4853506,68890.0,0.854464602292873,0.938410058995056,78806.431996268,1118.0,2.533,2.5126,0.1418,0.941,5.91325116317977,5672.06413410796,19.7
19,Italy,60431283,294140.0,0.702331829557153,0.879769445141925,34318.3511241724,832.0,4.0721,3.9933,0.0673,0.917,332.940142938881,5002.40667987736,19.3
20,Kazakhstan,18276499,2699700.0,0.583594078875773,0.800434604158046,9331.04694986684,250.0,3.8227,3.685,0.1163,0.047,11.435450520365,5600.20846486508,5.0
21,Kosovo,1845300,10887.0,0.790152130995239,0.0,4281.29232946159,0.0,3.8542,3.6959,0.115,0.0,0.0,0.0,0.0
22,Latvia,1926542,62180.0,0.711465973175934,0.847143039132196,18088.9272518674,667.0,2.7733,2.8531,0.1252,0.302,0.622877674091715,3507.40452065472,9.9
23,Liechtenstein,37910,160.0,0.364620938628159,0.91608286799234,165028.245029187,0.0,3.1691,3.2454,0.1277,0.0,0.0,0.0,9.3
24,Lithuania,2789533,62642.0,0.81204609862082,0.858135144524458,19089.7075056564,656.0,2.8246,2.8704,0.1241,0.404,30.0408706403545,3821.1451704374,8.3
25,Luxembourg,607728,2430.0,0.805412371134021,0.903938860890113,114340.498741773,934.0,3.0173,2.9478,0.1202,5.684,220.49337861675,13914.6784488756,10.6
26,Malta,483530,320.0,0.694323144104803,0.878186794658016,30074.7411850959,560.0,5.0071,4.5618,0.093,4.866,263.272185800261,4924.54401944044,17.0
27,Moldova,3545883,32890.0,0.958701249330407,0.699753399052754,3189.35581212262,450.0,3.5516,3.4493,0.1232,0.186,0.564034402714359,1386.23443895606,8.8
28,Montenegro,622345,13450.0,0.607327938903537,0.813692301889981,8760.69228579702,0.0,3.8614,3.8174,0.1116,0.208,5.46320770633652,4612.34139045689,13.3
29,Netherlands,17231017,33690.0,0.822191334499096,0.93063859254565,53024.0592130531,778.0,2.8649,2.8647,0.1241,6.646,240.844751067218,6712.774758245,10.6
